GO:0007416,synapse assembly
GO:0050808,synapse organization
GO:0051960,regulation of nervous system development
GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules
GO:0032989,cellular component morphogenesis
GO:0007155,cell adhesion
GO:0051239,regulation of multicellular organismal process
GO:0022610,biological adhesion
GO:0099177,regulation of trans-synaptic signaling
GO:0050804,modulation of chemical synaptic transmission
GO:0007399,nervous system development
GO:0099536,synaptic signaling
GO:0006810,transport
GO:0042391,regulation of membrane potential
GO:0007610,behavior
GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules
